review,rating
Forgot lectures. Repeated same content twice.,2
Good material but unfair treatment. Some students get secret hints during exams. Clear explanations but obvious favoritism ruins it.,3
Detailed code reviews improved my skills dramatically. Invested in student growth.,5
Dr. Kim's patience with backpropagation math is saintly! Calculus finally clicked.,5
Group projects imbalanced. Did 90% of blockchain implementation myself.,1
"Changed exam format last-minute. MCQ to essays without warning. Stressful mess.,2",2
Textbook summaries save hours. Always positive. Learning feels effortless.,5
Stole lab equipment for startup. Used students as free labor.,1
Compiler optimization lectures transformative! Learned value of AST transforms.,5
Kind but disorganized. Remembers personal details but loses homework. Grades take weeks. Needs better systems.,3
Bribes hinted for better grades. Corrupt.,1
Mental health breaks during exams. Reduced anxiety humanely.,4
Flexible deadline policy with valid excuses. Life happens and they get it. Respectful.,4
Tricky exam questions tested memorization over concepts.,2
Saved my grade! Weekly review sessions and class chat for questions. Demanding but truly wants students to succeed.,5
Canceled 25% of classes. Didn't make up work.,1
Boring monotone voice. Hard to stay awake in class.,2
Terible at teaching recursion. Fibonacci example made everything more confusing.,1
Never gives straight answers. Always says 'figure it out yourself.' Homework takes 3x longer than it should. Avoid.,1
Open-book tests reduce stress. Focus on understanding over memorization. Effective method.,4
Her formal methods workshops are gold! Learned TLA+ for actual protocol verification.,5
Free textbook loan program. Saved money.,4
Updates slides yearly but teaches from old versions. Confusing mismatches during exams. Needs basic organization.,2
Barely updated course materials. Taught Python 2 in 2023. Outdated and dangerous.,1
Real hackathons with tech prizes. Skills tested under pressure.,5
Goes above and beyond. Made free workbooks when texts sold out. Replies to emails at midnight. Dedicated teacher!,5
Code reviews improved quality dramatically. Industry standards enforced.,5
Code review partners rotated weekly. Learned diverse styles and approaches.,4
Required expensive software only used twice. Financial burden for no reason.,2
Group work unbalanced. Carried team in blockchain project.,1
Changed syllabus weekly. Assigned 20-page paper 3 days before due. Caused all-nighters.,1
Made difficult concepts simple. Great communicator.,5
Clear syllabus. Followed it exactly.,5
Allowed cheat sheets for tests. Reduced stress.,4
Used class to recruit for MLM side hustle. Inappropriate and scammy.,1
